Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
3,1.0383,2.025,4.5723,50.1406,0.072,22.6351,0.2695,0.4083,FCC
1,2.3833,1.8276,4.6059,71.7656,0.0457,24.1855,0.1917,0.1836,BCC+FCC
2,1.593,2,4.252,32.62,0.0475,10.304,0.3025,0.3481,IM
3,3.5756,1.8542,4.5383,84.7312,0.0334,12.4036,0.1346,0.1836,BCC
1,2.1405,1.9231,4.5554,80.4845,0.0556,31.5598,0.2892,0.4304,BCC
4,2.5976,1.7674,4.7729,80.9366,0.0432,17.458,0.1732,0.1476,FCC
3,3.5796,1.8571,4.6257,63.7143,0.0547,25.1592,0.2005,0.289,BCC+FCC
1,11.4652,1.6274,4.7506,72.5136,0.0388,24.1799,0.1425,0.1272,FCC
1,0.757,2.8529,4.3397,35.1648,0.0169,10.5261,0.1228,0.5348,BCC
3,27.5069,1.6977,4.2698,39.7698,0.042,17.0416,0.2924,0.2546,BCC
1,2.6194,1.7534,4.6562,73.7849,0.0573,19.5823,0.2519,0.105,IM
1,2.4734,1.5479,4.6986,74.5822,0.0654,28.8205,0.2876,0.0941,IM
1,7.9131,1.7692,4.7202,70.6366,0.0423,25.8809,0.1584,0.2298,BCC+FCC
1,2.2363,1.6,4.408,66.0199,0.0633,34.5013,0.3467,0.328,IM
1,2.9436,1.6667,4.4289,76.9888,0.0712,38.5012,0.4077,0.5145,IM
3,3.9474,1.9,4.6925,77.955,0.0297,13.122,0.1387,0.105,FCC
3,11.8383,1.75,4.2445,31.405,0.0374,12.3865,0.3023,0.4882,BCC
1,13.2447,1.8,4.166,36.48,0.0371,14.896,0.4232,0.4508,BCC
3,2.5658,1.8889,4.5311,82.6222,0.0367,14.4247,0.1472,0.2381,IM
3,5.0763,1.85,4.7038,86.7375,0.0317,8.3287,0.1206,0.0805,BCC
3,19.5217,1.6667,4.2844,43.5,0.0406,20.6667,0.2872,0.2654,BCC
1,1.5694,2,4.5862,56.075,0.0605,27.7438,0.232,0.3966,BCC
1,1.6989,1.9091,4.6509,67.1545,0.0575,28.2677,0.2425,0.3076,IM
1,6.1119,1.3671,4.3918,81.9684,0.0289,34.0106,0.2851,0.3102,BCC
3,4.3373,1.8077,4.6365,71.6038,0.0512,25.6568,0.1879,0.3183,IM
4,6.5228,1.8333,4.8,80.7167,0.0304,13.4389,0.1154,0.0798,FCC
3,4.7407,1.9091,4.1764,35.8182,0.0461,14.0231,0.4769,0.5119,BCC
3,15.9145,1.875,4.1387,31.825,0.0403,11.6375,0.4418,0.4664,BCC
1,2.3642,1.8511,4.7128,72.8553,0.0477,25.8017,0.1948,0.2393,IM
3,12.6895,1.7143,4.2829,66.1571,0.0356,43.2367,0.3851,0.4437,IM
1,1.3928,1.5122,4.5622,65.6121,0.0778,32.5972,0.4008,0.2985,IM
4,1.6631,1.192,4.4344,46.731,0.0847,9.1896,0.5476,0.0262,IM
3,12.4681,1.75,4.37,66.5,0.047,29.9,0.3621,0.5012,BCC
4,1.7269,1.3333,4.5333,50.8778,0.1098,13.9877,0.5068,0.0344,IM
3,2.0268,2,4.6451,70.8736,0.0551,30.992,0.2251,0.3726,IM
1,3.3324,1.8701,4.6338,79.3571,0.0551,23.1466,0.2349,0.2756,IM
1,1.4973,2,4.6536,65.5363,0.0516,30.033,0.1978,0.3365,BCC+FCC
3,209.8582,1.75,4.245,33.475,0.0443,12.025,0.3007,0.2261,BCC
3,1.83,1.9091,4.3545,51.2364,0.038,26.3504,0.2314,0.4599,BCC
2,7.6972,1.75,4.3575,72.625,0.0386,42.1875,0.3906,0.4888,BCC
4,2.8762,1.7674,4.7556,75.9512,0.0415,23.8821,0.1676,0.147,FCC
1,2.6405,1.8696,4.6748,76.7957,0.0593,29.2144,0.2478,0.3172,IM
3,3.7476,1.93,4.5069,82.2038,0.0293,8.1529,0.1216,0.1656,FCC
3,1.1543,2,4.6039,59.0426,0.0584,31.4105,0.2375,0.3522,IM
1,1.398,2.0667,4.292,56.2867,0.0514,27.2925,0.2725,0.4055,BCC+FCC
1,3.6783,1.7143,4.7643,78.0523,0.0425,21.449,0.1852,0.0852,IM
3,17.3552,1.5556,4.2733,49.4111,0.0308,33.0173,0.299,0.3376,BCC
1,2.7453,1.939,4.6122,76.2987,0.055,25.9871,0.2337,0.3216,IM
3,18.1463,1.575,4.2975,46.39,0.0313,27.585,0.2596,0.2836,BCC
3,1.53,2,4.2876,34.9176,0.0388,9.9599,0.2505,0.3815,IM
3,1.7754,2.13,4.4364,73.677,0.0292,11.564,0.1248,0.2521,IM
3,14.1151,1.7101,4.2616,41.2522,0.0359,16.1437,0.363,0.5127,BCC
3,7.1001,1.5,4.345,62,0.0603,29.8,0.4349,0.4915,BCC
4,5.1889,1.7726,4.8545,64.8826,0.0304,28.9222,0.1158,0.0839,IM
1,6.2016,1.6977,4.7744,82.9557,0.0453,20.4705,0.1923,0.103,IM
1,2.3834,2,4.5931,73.5921,0.0547,28.0404,0.2322,0.3584,IM
3,1.4246,2.25,4.7325,58.575,0.0382,23.775,0.1545,0.3618,BCC
3,1.8619,2,4.6217,66.45,0.05,26.6167,0.1869,0.3062,BCC
1,3.1911,1.6977,4.7535,77.193,0.0473,22.1493,0.2069,0.0844,IM
1,1.8746,2,4.6033,58.2599,0.0573,27.8453,0.2144,0.3936,BCC
3,2.5595,1.25,4.6,79.925,0.0796,39.175,0.4018,0.1238,IM
4,2.8029,1.875,4.2363,33.2875,0.0448,12.8594,0.3674,0.5493,IM
3,30.4739,2,4.1519,28.9938,0.0475,10.1414,0.4359,0.5369,BCC
3,14.2086,1.8571,4.2686,40.5143,0.0406,10.8939,0.2573,0.1762,IM
1,2.256,1.5625,4.4013,64.4625,0.0636,33.7078,0.3578,0.3173,IM
3,4.1319,1.8,4.6053,64.1733,0.0576,23.1147,0.2125,0.2285,BCC
3,8.7172,1.6667,4.3883,77.35,0.0451,42,0.3876,0.4952,BCC
3,2.6972,1.8182,4.6873,67.1818,0.0515,28.238,0.1989,0.2632,BCC+FCC
4,2.5507,1.5556,4.8444,92.3556,0.0505,19.684,0.1673,0.1042,FCC
3,4.1496,1.8371,4.4671,84.9121,0.0296,13.7671,0.1236,0.1866,BCC+FCC
3,128.9972,1.6,4.565,87.62,0.0399,16.128,0.1525,0.0895,BCC+FCC
4,15.7818,2,4.8833,68.3667,0.0167,18.6444,0.0606,0.055,FCC
3,18.1708,1.697,4.2333,29.9909,0.0377,10.3526,0.286,0.2453,BCC
3,2.0655,1.9583,4.5154,79.2833,0.0375,17.2292,0.1531,0.2876,IM
3,6.1294,1.8,4.6455,78.236,0.0319,17.499,0.1217,0.0869,FCC
1,2.3135,1.8,4.362,53.44,0.0372,28.104,0.2333,0.4222,BCC
3,9.6388,1.4792,4.3479,59.275,0.0261,40.2656,0.2368,0.2843,BCC
3,3.6073,1.4,4.446,76.82,0.0624,35.696,0.3432,0.2451,IM
1,2.519,1.6923,4.6608,61.823,0.064,28.8402,0.2466,0.2326,FCC
3,3.1742,1.8887,4.4588,82.4422,0.0306,14.4232,0.1287,0.2308,BCC
2,4.0773,1.8265,4.6036,75.5895,0.0404,19.0258,0.1574,0.1189,IM
3,5.0707,1.7762,4.6417,65.8732,0.0541,24.3484,0.1993,0.2289,BCC
1,2.1998,2,4.5883,71.1335,0.0396,24.2222,0.1515,0.2927,BCC
1,3.0594,1.5172,4.6879,82.1001,0.0787,25.8966,0.3472,0.1113,IM
1,5.8761,1.4334,4.4084,89.8329,0.0293,39.3574,0.2894,0.3245,BCC
1,4.2901,1.6154,4.7769,88.3922,0.042,20.0828,0.1512,0.0968,BCC
3,2.5855,1.3333,4.57,73.6333,0.0737,40.4148,0.3876,0.2025,IM
1,3.2827,1.9495,4.3343,57.4404,0.0128,14.8867,0.1238,0.2025,BCC
3,6.5504,1.7368,4.7028,67.7474,0.0468,26.6519,0.1779,0.2373,FCC
3,1.6062,2,4.2336,31.4364,0.0502,10.2281,0.3241,0.3302,IM
3,4.9852,1.5,4.42,83.975,0.0573,51.775,0.4022,0.5718,BCC
1,6.2506,1.6522,4.763,85.613,0.0557,22.4952,0.2345,0.1125,IM
3,6.5179,1.5294,4.4194,93.3471,0.0315,44.2381,0.3195,0.3675,BCC
3,4.7482,1.7222,4.4278,87.1472,0.0568,26.8381,0.336,0.4703,IM
3,5.4934,1.7692,4.6523,66.3692,0.0527,24.6438,0.1947,0.2286,IM
3,3.2695,1.8,4.71,75.74,0.0732,24.472,0.2941,0.1622,IM
4,6.182,1.8889,5.0111,67.6556,0.02,24.2272,0.0955,0.0611,FCC
1,42.9544,1.6667,4.7722,76.2777,0.0361,22.3852,0.1349,0.0858,FCC
1,2.456,2,4.6431,72.4692,0.0358,23.1811,0.1427,0.2797,BCC
1,3.2665,1.5,4.6625,70.925,0.0387,27.075,0.147,0.0878,FCC
1,3.5453,1.6667,4.6883,65.0335,0.0571,28.0334,0.2232,0.2039,IM
2,10.6886,1.5455,4.3418,58.0729,0.0347,35.7836,0.2647,0.2811,BCC
1,1.7311,1.8462,4.7354,69.3922,0.058,26.1018,0.2215,0.2064,IM
3,26.2978,1.6364,4.2055,45.7545,0.0375,28.3438,0.3869,0.3516,BCC
3,4.933,1.83,4.7939,73.764,0.0407,22.7082,0.1493,0.2116,FCC
1,2.5701,1.6,4.7,87.24,0.1018,38.808,0.4836,0.4209,BCC+FCC
3,55.8699,1.7143,4.3643,79.3714,0.0339,17.7415,0.1524,0.102,BCC+FCC
1,0.78,2.7368,4.3869,39.8738,0.027,16.8533,0.1526,0.5877,BCC+FCC
3,3.3378,1.8,4.718,79.21,0.0549,25.526,0.2248,0.2457,IM
1,4.4605,1.7317,4.7756,78.9535,0.037,20.6532,0.1596,0.0861,IM
1,1.994,1.7,4.693,70.36,0.0632,27.248,0.2661,0.1648,IM
3,30.4037,1.95,4.1292,27.1125,0.0467,6.8006,0.4485,0.4871,BCC
1,6.1756,1.6,4.496,100,0.069,38.08,0.4129,0.5203,BCC
1,3.029,1.9091,4.6164,74.9454,0.037,20.8794,0.1406,0.2219,FCC
1,15.5559,1.625,4.725,75.4125,0.036,24.5344,0.1382,0.0874,FCC
3,2.325,1.7167,4.8486,76.1797,0.0478,28.4135,0.1682,0.1714,IM
1,1.4046,1.3333,4.5167,58.3444,0.0938,23.1481,0.4751,0.0607,IM
1,4.4785,1.8462,4.7161,67.3384,0.0466,26.1893,0.1702,0.2861,BCC+FCC
3,5.4476,1.7778,4.6333,102.4778,0.0794,29.5753,0.4023,0.4772,IM
3,2.5237,1.8,4.606,86.42,0.0598,26.144,0.2817,0.3462,IM
3,2.3708,1.8333,4.6062,84.8667,0.0583,25.2917,0.2671,0.3497,IM
3,13.7465,1.625,4.2638,40.9665,0.0314,14.1722,0.3381,0.486,IM
1,2.5758,1.8571,4.6705,71.7714,0.0486,24.3374,0.1807,0.1977,BCC+FCC
1,1.8935,1.6667,4.6743,68.9666,0.0688,27.5428,0.294,0.1613,IM
1,3.0983,1.6875,4.4325,78.95,0.0682,40.5438,0.4013,0.5428,IM
1,2.8813,1.7,4.68,53.26,0.0782,11.976,0.2927,0.1563,IM
1,1.7738,1.7778,4.7144,65.4555,0.0658,25.916,0.2747,0.1694,BCC+FCC
4,4.1873,1.8499,4.6724,79.428,0.0357,13.8637,0.1478,0.1087,FCC
3,7.419,1.5789,4.41,85.9737,0.0347,45.7906,0.3429,0.4321,BCC
1,5.9217,1.8,4.65,79.52,0.0325,16.256,0.1239,0.0872,FCC
3,3.7807,1.75,4.825,63.1,0.0239,19.25,0.0775,0.0511,FCC
1,2.2873,1.7778,4.7367,73.611,0.0469,25.9407,0.1867,0.1725,IM
3,15.4174,1.6,4.5575,90.98,0.038,16.464,0.148,0.0872,BCC+FCC
3,6.9653,1.6,4.4,88.16,0.0431,41.752,0.419,0.4113,BCC
1,1.9602,1.7843,4.6804,70.3646,0.06,26.7082,0.2565,0.2299,IM
1,1.2723,2.2308,4.5923,60.3999,0.0479,30.1538,0.1794,0.4494,BCC+FCC
3,14.7186,1.6,4.5725,84.26,0.0408,15.12,0.1536,0.0903,BCC+FCC
1,1.1085,2,4.745,57.1,0.0566,25.25,0.2293,0.2386,FCC
1,1.5972,1.8518,4.7204,67.6851,0.0607,27.1583,0.2319,0.2199,IM
3,16.6867,1.8333,4.2633,38.95,0.0433,11.6667,0.2732,0.189,IM
3,4.7943,1.75,4.79,86.145,0.0381,14.1775,0.1376,0.0901,FCC
3,19.1694,1.7875,4.149,28.3513,0.0393,6.6942,0.4136,0.4155,BCC
3,43.2984,1.6375,4.2876,51.0888,0.0319,29.4382,0.3218,0.4636,IM
3,2.744,1.9091,4.725,69.2,0.0593,21.8636,0.2366,0.1546,IM
3,8.1287,1.6845,4.4074,80.9935,0.0342,20.2459,0.1491,0.1031,BCC+FCC
1,2.0143,1.8571,4.6329,84.2428,0.085,29.4326,0.4144,0.5143,IM
1,4.0114,1.871,4.6671,64.8289,0.048,27.3267,0.1785,0.3197,BCC+FCC
3,0.6923,2.619,4.4524,43.5333,0.0346,21.073,0.1756,0.5974,IM
2,2.7865,1.7456,4.8247,77.7446,0.0477,18.8988,0.2099,0.0803,IM
3,3.2627,1.7619,4.7067,68.9905,0.0496,27.5156,0.195,0.222,FCC
3,5.4827,1.75,4.35,79.275,0.0476,38.8625,0.4783,0.4334,BCC
3,17.3427,1.875,4.4625,79.6125,0.0201,10.6094,0.0805,0.0589,IM
3,1.2171,2.125,4.2713,42.125,0.0517,27.1375,0.3731,0.6455,IM
1,0.869,2,4.392,30.72,0.0708,8.024,0.4318,0.3792,IM
1,3.9225,1.8571,4.6324,77.1237,0.035,18.5542,0.1332,0.1706,FCC
3,1.376,2.0706,4.5844,73.719,0.0464,26.973,0.1769,0.3917,IM
2,1.7007,1.8333,4.7591,67.4514,0.0533,28.2431,0.2092,0.2032,IM
1,1.449,1.9091,4.6582,64.9999,0.0564,30.6182,0.2215,0.293,IM
1,14.2378,1.6,4.7575,77.2,0.0449,23.69,0.1853,0.0957,IM
3,1.7697,2.0769,4.6169,67.6692,0.0542,32.0639,0.2239,0.4132,IM
1,1.4863,2,4.5755,74.7766,0.0561,30.3468,0.2563,0.4983,BCC
3,13.5447,2,4.21,37.3333,0.0434,21.1778,0.4089,0.5776,IM
3,2.5856,1.8545,4.7964,71.6782,0.0406,25.4278,0.1633,0.1882,IM
3,10.2837,1.75,4.35,80.975,0.0301,17.025,0.1276,0.0909,BCC
3,1.886,2,4.6328,67.0207,0.0494,26.9441,0.1835,0.3093,BCC
1,2.2197,1.8571,4.5014,66.0714,0.0508,34.7102,0.2601,0.3517,BCC+FCC
1,1.1581,2.0769,4.6,59.4922,0.0549,30.9917,0.2197,0.3859,IM
3,12.4394,1.541,4.7148,70.2049,0.0561,24.7357,0.2421,0.0801,IM
3,1.3077,2,4.7325,66.825,0.0524,32.025,0.1827,0.3656,IM
3,12.7791,1.7144,4.3114,51.0566,0.0425,20.7463,0.2685,0.2555,BCC
1,5.4057,1.5769,4.725,88.2385,0.0451,22.929,0.1777,0.1059,IM
1,1.7814,2.0565,4.2429,73.6101,0.0158,8.7707,0.0883,0.1665,BCC+FCC
3,1.2873,2.0334,4.6249,62.206,0.0543,30.8545,0.2128,0.3608,IM
3,3.4674,2,4.7554,58.7603,0.0404,21.596,0.1538,0.3078,IM
1,6.2891,1.5769,4.7442,90.0078,0.0689,24.9704,0.2907,0.122,IM
1,1.6643,1.6667,4.63,64.0001,0.0741,29.0667,0.3247,0.2001,BCC+FCC
1,1.6906,2.0847,4.3144,71.4153,0.0221,12.4119,0.1054,0.2049,BCC+FCC
3,2.1883,1.697,4.6815,86.7242,0.0469,16.8338,0.1863,0.1576,BCC+FCC
3,2.3695,1.9,4.646,78.09,0.0558,27.094,0.2331,0.3357,IM
3,16.6072,1.8751,4.1925,31.0678,0.0434,12.0071,0.3925,0.5228,BCC
3,20.3882,1.5556,4.2567,50.4889,0.0352,32.5383,0.3575,0.3502,BCC
3,1.5382,1.9803,4.7334,79.388,0.0473,18.0854,0.1725,0.3078,IM
3,13.397,1.5455,4.2691,54.3364,0.0327,37.8347,0.3325,0.3332,BCC
1,65.1759,1.875,4.8019,61.9688,0.0276,20.3813,0.1099,0.1815,FCC
1,2.2939,1.5291,4.6849,73.4306,0.0686,29.1087,0.3059,0.0926,IM
3,1.9532,2,4.7697,72.1836,0.0436,24.5138,0.1617,0.2946,BCC+FCC
1,1.7746,2,4.5511,77.1999,0.0415,21.3334,0.1641,0.333,BCC+FCC
1,1.8163,1.9524,4.6676,68.3952,0.0517,28.1959,0.2082,0.3149,IM
3,33.6372,1.5455,4.2418,46.8273,0.0311,27.9537,0.3335,0.3347,BCC
3,1.7617,2.08,4.8186,63.5908,0.0422,26.3,0.1559,0.3084,BCC+FCC
3,10.6116,1.7,4.229,32.11,0.0323,12.792,0.2994,0.4547,BCC
3,6.0921,1.7826,4.5696,70.0913,0.0522,27.6881,0.1938,0.3362,IM
3,2.65,1.9168,4.6634,75.2265,0.0526,26.9577,0.2158,0.3052,IM
4,1.6634,1.2604,4.4823,48.7397,0.1008,11.6715,0.5372,0.0305,IM
1,1.8063,2,4.68,78.85,0.0409,16.55,0.1596,0.2929,BCC+FCC
1,3.0807,1.9129,4.3592,62.9052,0.0209,22.8196,0.1602,0.2588,BCC
4,9.3909,1.8002,4.6429,81.5035,0.0345,14.7984,0.1723,0.0944,IM
1,118.8142,1.6667,4.5722,84.6332,0.0379,13.274,0.1462,0.088,FCC
3,1.6263,2.15,4.457,72.77,0.0311,13.071,0.1313,0.2715,IM
3,10.4722,1.5,4.3625,70.95,0.0425,26.375,0.3879,0.3757,BCC
3,12.9463,1.5556,4.3178,51.7,0.032,32,0.2616,0.284,BCC
1,1.9128,1.8333,4.63,65.4668,0.0582,27.6001,0.2296,0.2149,IM
3,2.5824,2,4.75,67.2,0.029,17.8667,0.0997,0.0789,FCC
3,4.3005,1.7945,4.6138,64.5673,0.057,23.4288,0.2098,0.2287,BCC
3,121.2265,1.8571,4.2257,30.7762,0.0471,10.2349,0.3397,0.3867,BCC
2,5.0327,1.81,4.6325,78.0398,0.0359,17.1311,0.1382,0.1011,IM
1,3.8871,1.8462,4.7,77.8076,0.0394,15.8036,0.1497,0.1098,FCC
3,1.8201,1.9,4.275,34.03,0.0473,11.256,0.3397,0.5836,BCC
3,3.7589,1.9,4.249,35.102,0.048,14.4624,0.3727,0.5771,IM
3,3.1138,1.8333,4.7146,73.7417,0.0696,23.8264,0.278,0.1606,IM
1,6.2766,1.6,4.75,88.66,0.0654,24.352,0.2748,0.1198,IM
3,1.487,2,4.172,28.5,0.0546,5.64,0.4468,0.514,IM
1,2.133,1.7368,4.7137,71.8999,0.0561,26.7368,0.2316,0.1686,IM
1,4.0317,1.8679,4.7045,77.332,0.0299,19.3856,0.1282,0.1797,FCC
1,12.1139,1.7037,4.7522,78.0333,0.0463,18.6173,0.1603,0.2057,BCC+FCC
1,1.6744,2.0926,4.3343,70.8057,0.0237,13.3354,0.1094,0.2144,BCC+FCC
1,1.7068,2.0781,4.2977,71.9297,0.0207,11.603,0.1018,0.1965,BCC+FCC
3,5.9579,1.7826,4.7454,74.4674,0.0385,24.2599,0.1475,0.1945,FCC
1,2.1943,1.8333,4.7692,73.2334,0.0507,23.1555,0.1947,0.1709,IM
1,1.8981,2.037,4.1937,75.1222,0.0108,5.9737,0.0728,0.1344,BCC
3,5.0123,1.4,4.44,82.14,0.0604,29.568,0.3291,0.1724,IM
3,7.7435,1.5,4.321,58.98,0.0512,37.176,0.3908,0.4144,IM
1,1.1152,2.2143,4.5736,57.75,0.0506,30.2714,0.2003,0.4466,IM
3,3.8682,1.8095,4.7633,77.4857,0.0353,22.2585,0.1381,0.1717,IM
3,24.2572,1.9474,4.2179,29.6895,0.048,9.7108,0.3434,0.4064,BCC
3,5.5397,1.6,4.55,72.34,0.037,22.792,0.1432,0.088,BCC+FCC
1,0.8252,2.6429,4.425,43.6859,0.0337,21.1634,0.167,0.5888,BCC+FCC
4,6.6174,1.8076,4.823,74.0197,0.03,23.2662,0.1158,0.0819,FCC
3,1.9715,2.04,4.576,69.456,0.0404,25.4003,0.1555,0.3197,BCC
3,8.3956,1.6667,4.1767,31.2333,0.0428,6.5778,0.4303,0.4083,BCC
1,2.8048,1.8333,4.6717,78.7502,0.0624,29.3,0.2664,0.3141,IM
1,6.5828,1.7931,4.6938,67.2863,0.0457,26.6695,0.1689,0.2714,BCC+FCC
3,1.7995,1.7143,4.6614,83.1,0.0515,18,0.2058,0.185,BCC
3,4.6826,1.7059,4.4294,85.6235,0.0495,25.3834,0.2907,0.4348,BCC
1,1.4613,1.7333,4.7573,62.2467,0.0751,27.6764,0.3031,0.1852,BCC+FCC
2,1.751,2.0476,4.6667,67.8286,0.0457,28.8435,0.1676,0.3519,BCC
3,1.7052,2.125,4.4515,71.9077,0.0324,14.416,0.1447,0.2616,IM
3,5.9802,1.4,4.356,64.44,0.0452,43.728,0.331,0.2609,IM
3,1.5649,2,4.2744,34.0667,0.0424,10.163,0.2715,0.3694,IM
2,1.8549,1.8333,4.5683,63.1667,0.0636,29.9,0.2462,0.3474,IM
3,12.985,1.5789,4.3168,51.6053,0.0351,30.3557,0.2703,0.2812,BCC
1,1.9778,1.6667,4.7173,79.7133,0.0539,25.5271,0.2077,0.1865,BCC+FCC
3,1.6767,1.7222,4.6522,81.4389,0.0533,19.3796,0.2139,0.1961,BCC
3,163.7765,1.875,4.145,29.425,0.0502,8.0375,0.4484,0.4205,BCC
3,2.5191,1.8571,4.48,59.1714,0.0512,27.5673,0.2191,0.3179,IM
3,6.0637,1.7619,4.6635,66.8921,0.0509,24.9282,0.1896,0.2282,IM
3,2.2984,1.7762,4.6471,61.1079,0.0617,28.6152,0.2362,0.2823,IM
1,1.3635,1.75,4.5075,54.175,0.0874,21.975,0.5953,0.4557,IM
3,54.6556,1.561,4.7301,71.2805,0.0497,24.443,0.212,0.0815,IM
3,2.4682,1.8889,4.5733,72.7667,0.0492,33.7481,0.2202,0.3531,IM
1,4.384,1.8333,4.5967,98.1835,0.0776,33.5501,0.4096,0.5383,BCC
