Pm,ΔS,ad-e/n,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,Phase
1,5.6669,0.0226,34.5836,14.0835,0.0533,0.0512,1.5391,0.5773,BCC+FCC
1,14.6972,0.0437,125.9502,21.4479,0.0812,0.0755,1.0979,0.3688,BCC
2,13.3321,0.0423,68.7645,26.7435,0.0656,0.0692,0.6717,0.4231,BCC+FCC
3,15.5472,0.0496,63.3388,27.3405,0.0709,0.0632,0.6517,0.4449,FCC
3,13.1452,0.0334,91.8519,45.2395,0.1939,0.0332,0.581,0.5445,BCC
1,12.2013,0.0382,65.375,26.7464,0.0521,0.0466,0.559,0.4093,FCC
2,13.1452,0.0382,34.0247,17.8815,0.0235,0.0149,0.5673,0.5953,BCC
1,14.14,0.0547,56.992,24.7859,0.076,0.0725,0.5709,0.4036,IM
1,14.4228,0.0545,64.9481,26.3357,0.0677,0.0697,0.6271,0.4148,IM
1,13.3809,0.0419,75.92,20.824,0.061,0.0677,0.8031,0.3912,BCC+FCC
3,11.5257,0.0335,56.25,32.1,0.1576,0.0311,0.5657,0.5907,BCC
1,15.8417,0.0714,73.0796,38.2824,0.15,0.0263,0.6689,0.5669,IM
1,12.9758,0.0478,69.0001,30.0667,0.0724,0.0732,0.8503,0.5102,BCC+FCC
3,13.2992,0.072,27.3429,22.6351,0.0904,0.0696,0.6591,0.5,FCC
1,14.8707,0.0457,128.1453,24.1855,0.0866,0.0802,0.8171,0.4072,BCC+FCC
2,13.3809,0.0475,45.04,10.304,0.0714,0.024,0.5677,0.3465,IM
3,12.6136,0.0334,131.5538,12.4036,0.0781,0.0772,0.9039,0.2332,BCC
1,13.011,0.0556,71.8342,31.5598,0.1168,0.0618,0.7819,0.4681,BCC
4,12.3187,0.0432,50.3806,17.458,0.0666,0.0675,0.544,0.3237,FCC
3,16.1783,0.0547,61.8776,25.1592,0.0704,0.067,0.6756,0.4388,BCC+FCC
1,13.9209,0.0388,64.3059,24.1799,0.0527,0.0574,0.6257,0.377,FCC
1,4.3674,0.0169,25.848,10.5261,0.0461,0.0442,1.5916,0.5307,BCC
3,12.8253,0.042,43.0503,17.0416,0.1257,0.0332,0.417,0.6525,BCC
1,15.5463,0.0573,111.9119,19.5823,0.0808,0.0845,0.8363,0.3238,IM
1,13.6167,0.0654,68.0278,28.8205,0.0756,0.065,0.5338,0.4258,IM
1,14.6603,0.0423,66.1687,25.8809,0.061,0.063,0.6724,0.4096,BCC+FCC
1,14.5409,0.0633,51.9999,34.5013,0.1139,0.0267,0.6107,0.5657,IM
1,15.7065,0.0712,71.6049,38.5012,0.1492,0.0265,0.6711,0.5772,IM
3,11.612,0.0297,42.005,13.122,0.051,0.0666,0.4087,0.2454,FCC
3,10.7244,0.0374,30.95,12.3865,0.0679,0.027,0.3929,0.4794,BCC
1,13.3809,0.0371,39.12,14.896,0.0813,0.0396,0.3775,0.4897,BCC
3,13.1452,0.0367,141.9753,14.4247,0.0805,0.0807,0.9707,0.2833,IM
3,10.3962,0.0317,75.5812,8.3287,0.0656,0.0775,0.8628,0.1355,BCC
3,13.1452,0.0406,45.6296,20.6667,0.143,0.036,0.4358,0.7058,BCC
1,15.8478,0.0605,57.8125,27.7438,0.0818,0.0673,0.8547,0.551,BCC
1,14.6972,0.0575,65.4875,28.2677,0.0714,0.0719,0.7048,0.4579,IM
1,10.3373,0.0289,70.1812,34.0106,0.1753,0.0353,0.5165,0.4593,BCC
3,13.3571,0.0512,35.6509,25.6568,0.0695,0.0656,0.6009,0.4103,IM
4,11.0548,0.0304,55.5,13.4389,0.0466,0.0634,0.5107,0.2667,FCC
3,14.6972,0.0461,42.0165,14.0231,0.0826,0.0385,0.4752,0.4791,BCC
3,12.9664,0.0403,43.25,11.6375,0.0827,0.042,0.3851,0.4884,BCC
1,14.0489,0.0477,66.1929,25.8017,0.0655,0.0686,0.627,0.4066,IM
3,16.1783,0.0356,68.6531,43.2367,0.2264,0.0541,0.5235,0.7571,IM
1,12.1979,0.0778,11.6002,32.5972,0.0847,0.0751,0.1674,0.5371,IM
4,7.6789,0.0847,27.8554,9.1896,0.0737,0.0596,0.4992,0.2939,IM
3,11.5257,0.047,52.75,29.9,0.1555,0.0311,0.4748,0.5536,BCC
4,10.8339,0.1098,44.2222,13.9877,0.0816,0.0692,0.5809,0.333,IM
3,14.5338,0.0551,76.0613,30.992,0.0903,0.0694,0.7471,0.4852,IM
1,14.0751,0.0551,62.9111,23.1466,0.0864,0.0599,0.5554,0.387,IM
1,14.6972,0.0516,66.8098,30.033,0.0762,0.0713,0.725,0.4959,BCC+FCC
3,11.5257,0.0443,37.75,12.025,0.0768,0.0267,0.3577,0.3731,BCC
3,13.2539,0.038,64.3636,26.3504,0.129,0.0268,0.7786,0.6895,BCC
2,11.5257,0.0386,86.25,42.1875,0.2023,0.0263,0.7316,0.7074,BCC
4,12.8253,0.0415,62.834,23.8821,0.0652,0.0642,0.5431,0.3844,FCC
1,14.8548,0.0593,76.1588,29.2144,0.0935,0.0663,0.6598,0.4453,IM
3,12.0558,0.0293,158.4564,8.1529,0.0821,0.0805,0.8318,0.2003,FCC
3,14.7845,0.0584,61.2349,31.4105,0.0846,0.071,0.738,0.5683,IM
1,14.0626,0.0514,169.7779,27.2925,0.0991,0.0347,1.0185,0.5285,BCC+FCC
1,12.5685,0.0425,61.746,21.449,0.0582,0.0637,0.5256,0.3457,IM
3,13.1452,0.0308,57.5802,33.0173,0.1919,0.0529,0.4773,0.8185,BCC
1,14.158,0.055,67.6308,25.9871,0.0896,0.0611,0.6121,0.4206,IM
3,12.7953,0.0313,53.325,27.585,0.1679,0.0414,0.4909,0.7969,BCC
3,12.7077,0.0388,38.5606,9.9599,0.0445,0.0144,0.6044,0.3072,IM
3,10.8468,0.0292,189.886,11.564,0.0881,0.0841,0.8014,0.2349,IM
3,11.1618,0.0359,22.1802,16.1437,0.0543,0.0205,0.3149,0.4721,BCC
3,11.5257,0.0603,12.5,29.8,0.0385,0.0216,0.1793,0.5553,BCC
4,9.0116,0.0304,75.0591,28.9222,0.0508,0.0507,0.4151,0.4799,IM
1,12.8253,0.0453,63.5478,20.4705,0.069,0.0599,0.5046,0.3343,IM
1,14.0983,0.0547,70.8814,28.0404,0.0918,0.0619,0.6626,0.4488,IM
3,11.5257,0.0382,80.75,23.775,0.065,0.0751,0.7481,0.4116,BCC
3,14.8967,0.05,62.3333,26.6167,0.0702,0.0724,0.6323,0.4411,BCC
1,12.8253,0.0473,61.5359,22.1493,0.0603,0.0648,0.5282,0.3529,IM
1,15.5993,0.0573,60.2132,27.8453,0.0779,0.0676,0.8608,0.5268,BCC
3,11.5257,0.0796,78.25,39.175,0.1204,0.0554,0.4824,0.4918,IM
4,12.9664,0.0448,34.8438,12.8594,0.0715,0.026,0.4959,0.4745,IM
3,10.8506,0.0475,44.3125,10.1414,0.075,0.0405,0.408,0.5352,BCC
3,9.5922,0.0406,29.7143,10.8939,0.0654,0.021,0.2742,0.3075,IM
1,14.2758,0.0636,49.6875,33.7078,0.1121,0.0266,0.6026,0.5687,IM
3,15.5993,0.0576,55.0222,23.1147,0.0705,0.0671,0.5611,0.4049,BCC
3,14.8967,0.0451,77.6667,42,0.1858,0.0307,0.5797,0.6144,BCC
3,15.745,0.0515,64.4959,28.238,0.0734,0.0662,0.676,0.4621,BCC+FCC
4,8.0227,0.0505,34.6667,19.684,0.0677,0.0643,0.5814,0.2551,FCC
3,12.3187,0.0296,140.4364,13.7671,0.0754,0.0666,0.8612,0.2458,BCC+FCC
3,12.9458,0.0399,130,16.128,0.0791,0.0741,0.9459,0.2309,BCC+FCC
4,9.1339,0.0167,64.6667,18.6444,0.0176,0.0569,0.4927,0.2894,FCC
3,10.8363,0.0377,37.2084,10.3526,0.0782,0.0287,0.3867,0.3648,BCC
3,13.3507,0.0375,137.4132,17.2292,0.0799,0.0796,1.0245,0.3291,IM
3,13.3433,0.0319,129.5536,17.499,0.0779,0.0806,0.7186,0.3127,FCC
1,13.3809,0.0372,64.24,28.104,0.1335,0.0275,0.7071,0.6797,BCC
3,12.6136,0.0261,59.2665,40.2656,0.1873,0.0454,0.4824,0.7486,BCC
3,13.3809,0.0624,54.4,35.696,0.1269,0.0255,0.5063,0.5135,IM
1,14.7842,0.064,57.9171,28.8402,0.0841,0.0636,0.6511,0.5121,FCC
3,12.6606,0.0306,137.8215,14.4232,0.0751,0.0658,0.9,0.2839,BCC
2,14.86,0.0404,120.9148,19.0258,0.0783,0.081,0.7376,0.3192,IM
3,15.9731,0.0541,58.9317,24.3484,0.0684,0.0662,0.6029,0.4098,BCC
1,14.8967,0.0396,131.7782,24.2222,0.0799,0.0813,0.905,0.4011,BCC
1,14.8707,0.0787,66.314,25.8966,0.0972,0.0632,0.5033,0.3873,IM
1,11.2789,0.0293,82.3697,39.3574,0.1868,0.035,0.5356,0.4719,BCC
1,10.859,0.042,52.2366,20.0828,0.0619,0.0634,0.5508,0.2844,BCC
3,13.1452,0.0737,79.7531,40.4148,0.1258,0.0558,0.5339,0.5584,IM
1,6.5119,0.0128,17.0727,14.8867,0.0731,0.0199,0.2653,0.3897,BCC
3,15.4453,0.0468,64.149,26.6519,0.0658,0.0624,0.6921,0.4336,FCC
3,13.2539,0.0502,46.9752,10.2281,0.0798,0.0268,0.5421,0.3629,IM
3,11.5257,0.0573,87.5,51.775,0.1854,0.0242,0.7527,0.6464,BCC
1,13.2416,0.0557,64.7447,22.4952,0.0782,0.0588,0.4898,0.3345,IM
3,12.7077,0.0315,91.3495,44.2381,0.1928,0.0338,0.5552,0.5069,BCC
3,12.318,0.0568,34.4444,26.8381,0.1206,0.024,0.4081,0.3693,IM
3,16.0055,0.0527,59.9527,24.6438,0.0676,0.0658,0.6148,0.4107,IM
3,13.3809,0.0732,58.96,24.472,0.0903,0.0673,0.4018,0.3874,IM
4,8.0227,0.02,90.3704,24.2272,0.0402,0.0387,0.6029,0.3858,FCC
1,13.1452,0.0361,63.9505,22.3852,0.0517,0.0585,0.5702,0.352,FCC
1,12.6321,0.0358,61.0177,23.1811,0.0603,0.0648,0.5963,0.3822,BCC
1,11.5257,0.0387,65.75,27.075,0.052,0.0438,0.5634,0.4171,FCC
1,14.8967,0.0571,60.1113,28.0334,0.0777,0.0623,0.6411,0.4744,IM
2,13.2542,0.0347,51.7294,35.7836,0.1766,0.0427,0.4508,0.7158,BCC
1,14.2323,0.058,56.5206,26.1018,0.0795,0.0733,0.5787,0.4274,IM
3,13.2539,0.0375,52.1653,28.3438,0.1964,0.0595,0.4235,0.8173,BCC
3,13.9149,0.0407,61.9072,22.7082,0.0592,0.0664,0.671,0.3652,FCC
1,13.3809,0.1018,97.52,38.808,0.1422,0.0683,0.6357,0.5113,BCC+FCC
3,12.5685,0.0339,137.0748,17.7415,0.0663,0.0399,0.7696,0.2958,BCC+FCC
1,6.7053,0.027,41.3854,16.8533,0.0583,0.0562,1.4722,0.6004,BCC+FCC
3,14.5334,0.0549,71.1,25.526,0.0832,0.0646,0.5949,0.3997,IM
1,12.1979,0.037,61.9035,20.6532,0.0559,0.0625,0.5226,0.3379,IM
1,14.5334,0.0632,60.72,27.248,0.0751,0.0688,0.5625,0.4344,IM
3,11.4488,0.0467,46.9425,6.8006,0.0809,0.0436,0.4104,0.4038,BCC
1,13.3809,0.069,81.6,38.08,0.1607,0.0202,0.5461,0.4527,BCC
1,14.6972,0.037,132.9254,20.8794,0.0795,0.0817,0.831,0.3564,FCC
1,12.9664,0.036,63.875,24.5344,0.0526,0.055,0.5414,0.376,FCC
3,10.8186,0.0478,77.0236,28.4135,0.0681,0.0624,0.6481,0.4206,IM
1,10.8339,0.0938,42.2469,23.1481,0.0748,0.0688,0.532,0.4468,IM
1,14.7842,0.0466,61.9407,26.1893,0.0654,0.0671,0.7539,0.4274,BCC+FCC
3,13.1452,0.0794,70.0741,29.5753,0.1379,0.0615,0.5907,0.3352,IM
3,13.3809,0.0598,64,26.144,0.107,0.0633,0.6736,0.3833,IM
3,13.3507,0.0583,60.4167,25.2917,0.1035,0.0646,0.6797,0.3877,IM
3,10.9812,0.0314,20.9298,14.1722,0.0551,0.0201,0.3056,0.4455,IM
1,14.3353,0.0486,54.2585,24.3374,0.0666,0.0707,0.5125,0.383,BCC+FCC
1,14.677,0.0688,59.4829,27.5428,0.0764,0.0697,0.5641,0.4418,IM
1,16.0243,0.0682,76.4062,40.5438,0.1547,0.0269,0.6945,0.5854,IM
1,12.9458,0.0782,61.9,11.976,0.0755,0.0748,0.5931,0.2894,IM
1,14.4258,0.0658,63.9505,25.916,0.0755,0.0707,0.5667,0.4314,BCC+FCC
4,13.3785,0.0357,58.9615,13.8637,0.0633,0.0719,0.6657,0.2609,FCC
3,13.3321,0.0347,91.7452,45.7906,0.1945,0.0326,0.6036,0.5776,BCC
1,13.3809,0.0325,131.92,16.256,0.0783,0.0816,0.7471,0.2962,FCC
3,11.5257,0.0239,72,19.25,0.0164,0.0541,0.6244,0.3077,FCC
1,13.1452,0.0469,62.9629,25.9407,0.0708,0.0656,0.5566,0.4148,IM
3,12.3287,0.038,129.2,16.464,0.0776,0.0742,0.9279,0.2064,BCC+FCC
3,13.3809,0.0431,78.24,41.752,0.1856,0.0329,0.4997,0.5084,BCC
1,14.6101,0.06,63.6907,26.7082,0.0695,0.0705,0.6267,0.4219,IM
1,12.6321,0.0479,67.6212,30.1538,0.0732,0.0734,0.9066,0.5326,BCC+FCC
3,13.2758,0.0408,130.8,15.12,0.0799,0.074,0.9641,0.2498,BCC+FCC
1,11.5257,0.0566,69.5,25.25,0.0822,0.0716,0.5946,0.4548,FCC
1,14.2517,0.0607,55.9615,27.1583,0.0823,0.074,0.5856,0.4488,IM
3,10.3298,0.0433,32.5556,11.6667,0.069,0.0225,0.2958,0.3287,IM
3,11.7645,0.0381,70.44,14.1775,0.0644,0.0717,0.7966,0.2383,FCC
3,12.3001,0.0393,47.3093,6.6942,0.0904,0.0427,0.438,0.2831,BCC
3,13.3112,0.0319,47.6531,29.4382,0.1605,0.0386,0.4811,0.6936,IM
3,13.0106,0.0593,55.4339,21.8636,0.0782,0.0709,0.4242,0.3604,IM
3,11.3875,0.0342,60.9056,20.2459,0.058,0.0305,0.693,0.3131,BCC+FCC
1,14.5318,0.085,68.1631,29.4326,0.1336,0.0735,0.8077,0.4729,IM
1,14.8759,0.048,64.8593,27.3267,0.0679,0.0655,0.7794,0.4598,BCC+FCC
3,7.5837,0.0346,49.3878,21.073,0.0664,0.0697,1.4226,0.6404,IM
2,12.37,0.0477,59.076,18.8988,0.0599,0.0669,0.5769,0.3178,IM
3,15.433,0.0496,64.0181,27.5156,0.0716,0.0646,0.6379,0.4438,FCC
3,11.5257,0.0476,76.125,38.8625,0.1933,0.027,0.5744,0.5803,BCC
3,10.0849,0.0201,131.0938,10.6094,0.0732,0.0592,0.6349,0.2339,IM
3,12.9664,0.0517,60,27.1375,0.1541,0.0382,0.7207,0.8154,IM
1,13.3809,0.0708,71.92,8.024,0.1105,0.0728,0.7439,0.2847,IM
1,14.3353,0.035,132.7708,18.5542,0.0791,0.0817,0.7905,0.3288,FCC
3,11.4661,0.0464,41.4408,26.973,0.0708,0.0709,0.6594,0.4336,IM
2,13.2116,0.0533,68.5758,28.2431,0.0774,0.0683,0.5975,0.4622,IM
1,14.6972,0.0564,63.8346,30.6182,0.0811,0.0702,0.6645,0.5098,IM
1,14.3159,0.0449,66.66,23.69,0.0626,0.0564,0.5796,0.3669,IM
3,14.2323,0.0542,76.1893,32.0639,0.0918,0.0703,0.8085,0.5151,IM
1,14.0489,0.0561,46.4463,30.3468,0.1038,0.0683,0.7433,0.4953,BCC
3,9.1339,0.0434,31.1111,21.1778,0.0625,0.028,0.3563,0.603,IM
3,13.3671,0.0406,70.562,25.4278,0.0645,0.0656,0.5949,0.4061,IM
3,11.5257,0.0301,139.875,17.025,0.0612,0.0381,0.7406,0.2829,BCC
3,14.8707,0.0494,63.698,26.9441,0.07,0.0723,0.6463,0.4424,BCC
1,16.1783,0.0508,67.8367,34.7102,0.1131,0.0516,0.5994,0.5725,BCC+FCC
1,14.7842,0.0549,63.3608,30.9917,0.081,0.0718,0.7927,0.5564,IM
3,14.7374,0.0561,60.5843,24.7357,0.0619,0.0612,0.6074,0.3889,IM
3,11.5257,0.0524,73.625,32.025,0.0746,0.0751,0.8435,0.5105,IM
3,12.2615,0.0425,36.9653,20.7463,0.1412,0.0342,0.3764,0.6254,BCC
1,12.0051,0.0451,59.7634,22.929,0.0707,0.0595,0.5184,0.3139,IM
1,7.0475,0.0158,132.6751,8.7707,0.0754,0.074,0.3966,0.1909,BCC+FCC
3,14.841,0.0543,64.9953,30.8545,0.0796,0.0717,0.756,0.5308,IM
3,13.2542,0.0404,71.7746,21.596,0.0594,0.0692,0.8023,0.3809,IM
1,13.3571,0.0689,67.7516,24.9704,0.0877,0.0566,0.462,0.3283,IM
1,14.8967,0.0741,56.778,29.0667,0.0823,0.0705,0.5834,0.4926,BCC+FCC
1,9.231,0.0221,169.96,12.4119,0.0854,0.0843,0.5036,0.235,BCC+FCC
3,10.8363,0.0469,31.5886,16.8338,0.07,0.0668,0.3684,0.2851,BCC+FCC
3,14.5334,0.0558,66.76,27.094,0.0915,0.0677,0.6949,0.4249,IM
3,12.4206,0.0434,40.16,12.0071,0.0765,0.0375,0.4213,0.5081,BCC
3,13.1452,0.0352,59.8519,32.5383,0.1943,0.0579,0.4757,0.7875,BCC
3,10.948,0.0473,33.6003,18.0854,0.0697,0.0767,0.5517,0.335,IM
3,13.2539,0.0327,55.9339,37.8347,0.2064,0.0594,0.4409,0.7921,BCC
1,12.6945,0.0276,74.1875,20.3813,0.0386,0.0604,0.6552,0.3353,FCC
1,13.6631,0.0686,67.4868,29.1087,0.0769,0.0659,0.5386,0.433,IM
3,12.9105,0.0436,62.8487,24.5138,0.0668,0.0731,0.7232,0.3962,BCC+FCC
1,13.1452,0.0415,93.3332,21.3334,0.0761,0.0761,1.1031,0.3739,BCC+FCC
1,14.3353,0.0517,67.4648,28.1959,0.0699,0.0714,0.7091,0.4522,IM
3,13.2539,0.0311,55.7025,27.9537,0.186,0.0546,0.4619,0.7918,BCC
3,12.4265,0.0422,83.1082,26.3,0.0655,0.0711,0.7438,0.4415,BCC+FCC
3,10.9232,0.0323,32.4,12.792,0.0737,0.0282,0.3775,0.4736,BCC
3,13.2416,0.0522,39.3195,27.6881,0.0696,0.0561,0.6277,0.4411,IM
3,14.5338,0.0526,70.5019,26.9577,0.0839,0.0659,0.64,0.4263,IM
4,9.371,0.1008,36.2228,11.6715,0.0793,0.0655,0.547,0.3182,IM
1,11.0548,0.0409,40.8333,16.55,0.065,0.0729,0.5431,0.3187,BCC+FCC
1,9.3907,0.0209,28.4385,22.8196,0.0913,0.0244,0.3544,0.4477,BCC
4,10.6184,0.0345,43.3984,14.7984,0.0601,0.0504,0.3523,0.2938,IM
1,13.1452,0.0379,140.2467,13.274,0.0811,0.0779,0.932,0.2259,FCC
3,11.0999,0.0311,185.325,13.071,0.088,0.0857,0.8479,0.253,IM
3,11.5257,0.0425,47.75,26.375,0.1493,0.0318,0.4183,0.4523,BCC
3,13.1452,0.032,54.4198,32,0.175,0.0426,0.48,0.7702,BCC
1,14.8967,0.0582,54.8334,27.6001,0.0795,0.0705,0.5234,0.4677,IM
3,9.1339,0.029,151.5556,17.8667,0.0916,0.0976,0.6533,0.2838,FCC
3,15.7177,0.057,55.9761,23.4288,0.0701,0.067,0.5708,0.4063,BCC
3,12.4817,0.0471,42.6757,10.2349,0.0803,0.0351,0.4139,0.3707,BCC
2,14.362,0.0359,128.0091,17.1311,0.0785,0.0815,0.7442,0.3056,IM
1,14.2323,0.0394,118.698,15.8036,0.078,0.0841,0.8102,0.2855,FCC
3,12.5108,0.0473,28,11.256,0.0524,0.0185,0.5336,0.4135,BCC
3,13.7779,0.048,33.568,14.4624,0.0659,0.0242,0.471,0.4887,IM
3,13.3507,0.0696,58.1771,23.8264,0.0874,0.0684,0.4091,0.3829,IM
1,13.3809,0.0654,67.12,24.352,0.0854,0.0573,0.471,0.331,IM
3,13.3809,0.0546,52.72,5.64,0.0908,0.0404,0.6092,0.256,IM
1,14.1676,0.0561,61.8946,26.7368,0.0733,0.0674,0.5601,0.4255,IM
1,12.2573,0.0299,56.4898,19.3856,0.0538,0.063,0.5172,0.3328,FCC
1,12.4506,0.0463,30.4526,18.6173,0.0605,0.0667,0.4889,0.3165,BCC+FCC
1,9.749,0.0237,176.8796,13.3354,0.0872,0.0863,0.5318,0.246,BCC+FCC
1,8.7655,0.0207,162.959,11.603,0.0836,0.0824,0.4794,0.2253,BCC+FCC
3,13.9933,0.0385,66.0491,24.2599,0.0588,0.0634,0.6119,0.3821,FCC
1,13.9362,0.0507,57.3473,23.1555,0.0716,0.0714,0.562,0.3767,IM
1,5.1951,0.0108,95.7228,5.9737,0.0643,0.0627,0.3135,0.1539,BCC
3,13.3809,0.0604,42.56,29.568,0.1171,0.027,0.3868,0.4037,IM
3,14.5334,0.0512,40.6,37.176,0.1381,0.0397,0.4614,0.6938,IM
1,13.8692,0.0506,64.2653,30.2714,0.0771,0.0725,0.9003,0.5617,IM
3,12.5685,0.0353,64.6939,22.2585,0.0577,0.064,0.5653,0.3596,IM
3,11.7412,0.048,44.2659,9.7108,0.082,0.0365,0.4162,0.3862,BCC
3,13.3809,0.037,134.32,22.792,0.0773,0.0637,0.7716,0.3679,BCC+FCC
1,8.2671,0.0337,50.8166,21.1634,0.0647,0.0627,1.3503,0.6153,BCC+FCC
4,11.3163,0.03,68.1805,23.2662,0.0485,0.0585,0.5019,0.3672,FCC
3,14.865,0.0404,130.7008,25.4003,0.0799,0.0809,0.9391,0.4195,BCC
3,9.1339,0.0428,45.7778,6.5778,0.0876,0.0469,0.4719,0.2367,BCC
1,14.8967,0.0624,77.1668,29.3,0.0977,0.065,0.6434,0.4415,IM
1,14.8707,0.0457,65.2439,26.6695,0.0641,0.0635,0.7292,0.4349,BCC+FCC
3,11.2387,0.0515,31.0204,18,0.0752,0.0674,0.3771,0.3389,BCC
3,11.7487,0.0495,31.4187,25.3834,0.106,0.0232,0.3704,0.3583,BCC
1,14.0626,0.0751,71.2889,27.6764,0.0821,0.0735,0.636,0.4806,BCC+FCC
2,13.3448,0.0457,69.8231,28.8435,0.0695,0.0717,0.7512,0.4648,BCC
3,11.8082,0.0324,173.8785,14.416,0.0871,0.0806,0.8503,0.2727,IM
3,13.3809,0.0452,54.4,43.728,0.1656,0.0433,0.5063,0.7032,IM
3,13.1452,0.0424,41.037,10.163,0.0569,0.019,0.5934,0.3229,IM
2,14.8967,0.0636,32.2222,29.9,0.0832,0.0628,0.5791,0.5157,IM
3,13.3321,0.0351,51.9889,30.3557,0.1705,0.0414,0.4657,0.7511,BCC
1,12.6758,0.0539,49.2976,25.5271,0.0769,0.0679,0.5759,0.4041,BCC+FCC
3,11.3575,0.0533,30.7099,19.3796,0.0773,0.0676,0.3808,0.3617,BCC
3,12.9664,0.0502,42.5312,8.0375,0.093,0.043,0.3689,0.3448,BCC
3,16.1783,0.0512,123.8776,27.5673,0.0846,0.0601,0.9825,0.5186,IM
3,15.9953,0.0509,60.9877,24.9282,0.0666,0.0652,0.6276,0.4115,IM
