Pm,ρ,α,ad-e/n,δ-e/n,δ-Ec,Phase
3,7.8305,11.4286,0.107,0.4502,0.1711,IM
3,7.8704,15.1135,0.0357,0.1393,0.1059,FCC
1,3.6175,21.5458,0.0226,0.1406,0.0972,BCC+FCC
1,7.0218,15.4454,0.0437,0.1714,0.1474,BCC
2,7.3358,13.2211,0.0423,0.1573,0.085,BCC+FCC
3,7.7182,12.4773,0.0496,0.1956,0.0943,FCC
3,12.7,6.3333,0.0334,0.3348,0.1574,BCC
1,8.2118,12.04,0.0382,0.1454,0.0832,FCC
2,5.6656,11.6667,0.0382,0.2269,0.284,BCC
1,7.7064,11.232,0.0547,0.2092,0.0717,IM
1,7.6739,12.2082,0.0545,0.2288,0.2166,IM
1,7.454,15.84,0.0419,0.1595,0.115,BCC+FCC
3,9.9975,7.275,0.0335,0.3175,0.1804,BCC
1,8.5482,9.9,0.0714,0.4005,0.3293,IM
1,6.37,15.3833,0.0478,0.1763,0.1108,BCC+FCC
3,6.3722,15.3747,0.072,0.2695,0.1433,FCC
1,7.5672,12.9242,0.0457,0.1917,0.1442,BCC+FCC
2,5.682,11.04,0.0475,0.3025,0.2552,IM
3,7.5417,13.7458,0.0334,0.1346,0.1457,BCC
1,6.8808,13.2538,0.0556,0.2892,0.2795,BCC
4,7.9545,11.1411,0.0432,0.1732,0.0437,FCC
3,7.2257,13.3857,0.0547,0.2005,0.1424,BCC+FCC
1,8.2412,12.5804,0.0388,0.1425,0.0866,FCC
1,3.3477,22.15,0.0169,0.1228,0.085,BCC
3,6.6928,7.7047,0.042,0.2924,0.1693,BCC
1,8.0992,12.3411,0.0573,0.2519,0.2639,IM
1,8.2649,10.1575,0.0654,0.2876,0.2527,IM
1,7.7746,13.1904,0.0423,0.1584,0.0922,BCC+FCC
1,7.1467,10.32,0.0633,0.3467,0.2958,IM
1,8.55,9.7555,0.0712,0.4077,0.3233,IM
3,7.9885,11.465,0.0297,0.1387,0.0711,FCC
3,7.2405,8.005,0.0374,0.3023,0.2013,BCC
1,9.91,7.22,0.0371,0.4232,0.1702,BCC
3,7.2889,14.4,0.0367,0.1472,0.1521,IM
3,8.1218,12.5125,0.0317,0.1206,0.104,BCC
3,6.85,7.5889,0.0406,0.2872,0.1666,BCC
1,6.4575,14.9,0.0605,0.232,0.1282,BCC
1,7.2382,13.1545,0.0575,0.2425,0.2384,IM
1,12.2138,6.2089,0.0289,0.2851,0.0789,BCC
3,7.1927,14.2808,0.0512,0.1879,0.1076,IM
4,8.2683,11.7,0.0304,0.1154,0.0276,FCC
3,9.2545,8.7091,0.0461,0.4769,0.2249,BCC
3,9.23,7.3,0.0403,0.4418,0.168,BCC
1,7.6353,12.417,0.0477,0.1948,0.1716,IM
3,11.3129,6.5286,0.0356,0.3851,0.1767,IM
1,7.5239,9.1829,0.0778,0.4008,0.2683,IM
4,8.596,8.9893,0.0847,0.5476,0.2248,IM
3,9.3825,7.525,0.047,0.3621,0.2047,BCC
4,8.6078,10.2333,0.1098,0.5068,0.2841,IM
3,6.9976,13.8415,0.0551,0.2251,0.2017,IM
1,7.6813,12.1896,0.0551,0.2349,0.2104,IM
1,6.8673,13.4182,0.0516,0.1978,0.1006,BCC+FCC
3,6.4275,7.9,0.0443,0.3007,0.1735,BCC
3,6.0873,12.0545,0.038,0.2314,0.2864,BCC
2,12.2925,7.125,0.0386,0.3906,0.2069,BCC
4,7.9465,11.2,0.0415,0.1676,0.0433,FCC
1,7.5117,12.613,0.0593,0.2478,0.2185,IM
3,7.6289,14.7902,0.0293,0.1216,0.1625,FCC
3,6.5033,12.9234,0.0584,0.2375,0.1062,IM
1,6.1887,16.3267,0.0514,0.2725,0.3705,BCC+FCC
1,8.2228,11.0857,0.0425,0.1852,0.1587,IM
3,8.1022,7.0111,0.0308,0.299,0.1472,BCC
1,7.3776,12.8854,0.055,0.2337,0.2156,IM
3,7.1467,7.34,0.0313,0.2596,0.1636,BCC
3,5.5359,11.9647,0.0388,0.2505,0.276,IM
3,7.2362,17.366,0.0292,0.1248,0.1817,IM
3,9.4752,7.713,0.0359,0.363,0.1985,BCC
3,9.2375,7.55,0.0603,0.4349,0.278,BCC
4,8.3838,11.8443,0.0304,0.1158,0.0287,IM
1,8.3463,10.8442,0.0453,0.1923,0.1459,IM
1,7.1088,13.5012,0.0547,0.2322,0.2194,IM
3,7.0825,15.625,0.0382,0.1545,0.1038,BCC
3,6.94,12.8333,0.05,0.1869,0.1308,BCC
1,8.2312,10.9977,0.0473,0.2069,0.1858,IM
1,6.588,15.2133,0.0573,0.2144,0.1228,BCC
3,8.71,8.1,0.0796,0.4018,0.2626,IM
4,7.32,9.5875,0.0448,0.3674,0.2514,IM
3,8.2969,7.6313,0.0475,0.4359,0.1753,BCC
3,6.2957,8.0714,0.0406,0.2573,0.1502,IM
1,7.2363,10.1312,0.0636,0.3578,0.2946,IM
3,7.38,12.0267,0.0576,0.2125,0.1461,BCC
3,10.92,6.9833,0.0451,0.3876,0.2094,BCC
3,7.4345,12.7909,0.0515,0.1989,0.0965,BCC+FCC
4,8.1378,10.2,0.0505,0.1673,0.0384,FCC
3,7.3824,13.7978,0.0296,0.1236,0.1492,BCC+FCC
3,7.903,12.89,0.0399,0.1525,0.1421,BCC+FCC
4,8.5433,12.9667,0.0167,0.0606,0.0153,FCC
3,6.4927,7.8152,0.0377,0.286,0.1777,BCC
3,7.0021,14.975,0.0375,0.1531,0.1516,IM
3,8.0559,13.375,0.0319,0.1217,0.1402,FCC
1,6.426,10.9,0.0372,0.2333,0.2642,BCC
3,7.6606,6.9667,0.0261,0.2368,0.1508,BCC
3,7.676,8.12,0.0624,0.3432,0.2547,IM
1,7.4631,11.8615,0.064,0.2466,0.0989,FCC
3,7.1748,14.2323,0.0306,0.1287,0.1489,BCC
2,7.8008,12.6886,0.0404,0.1574,0.1628,IM
3,7.5299,12.4723,0.0541,0.1993,0.1383,BCC
1,7.165,15.0667,0.0396,0.1515,0.1448,BCC
1,8.6059,9.6621,0.0787,0.3472,0.2582,IM
1,12.9681,6.0297,0.0293,0.2894,0.0904,BCC
1,8.0792,10.4154,0.042,0.1512,0.0348,BCC
3,8.2422,8.3333,0.0737,0.3876,0.2565,IM
1,6.2978,8.9818,0.0128,0.1238,0.1238,BCC
3,7.7211,13.2702,0.0468,0.1779,0.1006,FCC
3,5.7573,10.5636,0.0502,0.3241,0.2435,IM
3,9.92,7.05,0.0573,0.4022,0.3078,BCC
1,8.4691,10.4696,0.0557,0.2345,0.185,IM
3,13.1824,6.1059,0.0315,0.3195,0.1329,BCC
3,8.8936,8.2222,0.0568,0.336,0.2978,IM
3,7.5738,12.6,0.0527,0.1947,0.1349,IM
3,8.396,10.46,0.0732,0.2941,0.19,IM
4,8.6878,12.7333,0.02,0.0955,0.0232,FCC
1,8.2867,11.8778,0.0361,0.1349,0.0673,FCC
1,7.2831,13.2923,0.0358,0.1427,0.0825,BCC
1,8.2125,12.125,0.0387,0.147,0.0855,FCC
1,7.71,12,0.0571,0.2232,0.0966,IM
2,7.4642,7.1366,0.0347,0.2647,0.1543,BCC
1,7.5831,11.1923,0.058,0.2215,0.0719,IM
3,9.0436,6.8818,0.0375,0.3869,0.133,BCC
3,7.9362,13.019,0.0407,0.1493,0.0829,FCC
1,10.586,9.02,0.1018,0.4836,0.3353,BCC+FCC
3,7.2495,12.2238,0.0339,0.1524,0.2038,BCC+FCC
1,3.859,21.0053,0.027,0.1526,0.1052,BCC+FCC
3,7.857,11.89,0.0549,0.2248,0.1881,IM
1,8.2141,11.178,0.037,0.1596,0.1187,IM
1,7.872,10.77,0.0632,0.2661,0.2098,IM
3,8.2803,7.5875,0.0467,0.4485,0.1568,BCC
1,9.842,7.56,0.069,0.4129,0.3161,BCC
1,7.5709,14.2909,0.037,0.1406,0.1434,FCC
1,8.2088,11.7,0.036,0.1382,0.0689,FCC
3,8.0305,11.448,0.0478,0.1682,0.0546,IM
1,8.4133,9.0667,0.0938,0.4751,0.2658,IM
1,7.5254,14.1615,0.0466,0.1702,0.1038,BCC+FCC
3,10.3222,8.8778,0.0794,0.4023,0.3494,IM
3,7.382,12,0.0598,0.2817,0.2526,IM
3,7.2633,12.2875,0.0583,0.2671,0.2425,IM
3,9.3269,7.6379,0.0314,0.3381,0.1862,IM
1,7.5457,11.2952,0.0486,0.1807,0.1063,BCC+FCC
1,7.9057,10.6048,0.0688,0.294,0.2362,IM
1,8.59,9.7812,0.0682,0.4013,0.3287,IM
1,8.032,11.98,0.0782,0.2927,0.232,IM
1,7.9478,11.2778,0.0658,0.2747,0.2138,BCC+FCC
4,7.9332,11.6794,0.0357,0.1478,0.105,FCC
3,12.2684,6.5368,0.0347,0.3429,0.1758,BCC
1,8.058,13.36,0.0325,0.1239,0.1404,FCC
3,8.6425,13.9,0.0239,0.0775,0.0929,FCC
1,7.7933,11.1555,0.0469,0.1867,0.0485,IM
3,7.8155,12.365,0.038,0.148,0.1392,BCC+FCC
3,12.204,6.34,0.0431,0.419,0.1664,BCC
1,7.7094,12.0157,0.06,0.2565,0.2445,IM
1,6.0877,16.0154,0.0479,0.1794,0.1153,BCC+FCC
3,7.9905,13.415,0.0408,0.1536,0.1445,BCC+FCC
1,7.5325,12.275,0.0566,0.2293,0.0481,FCC
1,7.4689,11.1555,0.0607,0.2319,0.072,IM
3,6.325,8.0333,0.0433,0.2732,0.1575,IM
3,8.195,11.695,0.0381,0.1376,0.0784,FCC
3,8.052,7.886,0.0393,0.4136,0.1731,BCC
3,9.2419,7.0975,0.0319,0.3218,0.1731,IM
3,8.1459,11.1909,0.0593,0.2366,0.1556,IM
3,7.1332,10.0631,0.0342,0.1491,0.1588,BCC+FCC
1,9.0828,11.4286,0.085,0.4144,0.3615,IM
1,7.2581,14.5355,0.048,0.1785,0.1074,BCC+FCC
3,4.3038,20.0286,0.0346,0.1756,0.1159,IM
2,8.3733,11.3918,0.0477,0.2099,0.1859,IM
3,7.66,12.2762,0.0496,0.195,0.0882,FCC
3,12.6975,6.65,0.0476,0.4783,0.1786,BCC
3,7.8113,13.825,0.0201,0.0805,0.1497,IM
3,6.7912,11.35,0.0517,0.3731,0.2836,IM
1,6.226,12.14,0.0708,0.4318,0.277,IM
1,7.8028,13.8476,0.035,0.1332,0.1421,FCC
3,6.3898,14.422,0.0464,0.1769,0.1054,IM
2,7.6989,11.4745,0.0533,0.2092,0.0514,IM
1,7.0309,12.2,0.0564,0.2215,0.0873,IM
1,8.4165,11.78,0.0449,0.1853,0.1522,IM
3,6.6669,14.5923,0.0542,0.2239,0.205,IM
1,6.9813,12.9574,0.0561,0.2563,0.2436,BCC
3,9.23,7.5,0.0434,0.4089,0.208,IM
3,7.9245,12.0782,0.0406,0.1633,0.0572,IM
3,7.165,12,0.0301,0.1276,0.2043,BCC
3,6.9683,12.9897,0.0494,0.1835,0.1268,BCC
1,6.78,11.2857,0.0508,0.2601,0.2147,BCC+FCC
1,6.3646,13.9538,0.0549,0.2197,0.1155,IM
3,8.3744,11.8623,0.0561,0.2421,0.2396,IM
3,6.91,14.225,0.0524,0.1827,0.1027,IM
3,6.8825,7.6146,0.0425,0.2685,0.1552,BCC
1,8.0877,10.0616,0.0451,0.1777,0.1173,IM
1,7.3824,20.3271,0.0158,0.0883,0.1703,BCC+FCC
3,6.6094,13.5971,0.0543,0.2128,0.1082,IM
3,7.5862,15.6094,0.0404,0.1538,0.113,IM
1,8.6723,9.85,0.0689,0.2907,0.2185,IM
1,7.65,10.4334,0.0741,0.3247,0.2427,BCC+FCC
1,7.3387,19.6407,0.0221,0.1054,0.187,BCC+FCC
3,7.6758,10.4121,0.0469,0.1863,0.049,BCC+FCC
3,7.243,12.87,0.0558,0.2331,0.2062,IM
3,8.1305,7.7877,0.0434,0.3925,0.1907,BCC
3,8.8544,7.0667,0.0352,0.3575,0.1466,BCC
3,7.2413,13.4365,0.0473,0.1725,0.0912,IM
3,8.7664,6.7727,0.0327,0.3325,0.1337,BCC
1,8.2525,14.3313,0.0276,0.1099,0.0957,FCC
1,8.2758,10.0592,0.0686,0.3059,0.2635,IM
3,7.4297,13.6607,0.0436,0.1617,0.0881,BCC+FCC
1,6.7589,14.6111,0.0415,0.1641,0.1322,BCC+FCC
1,7.1743,13.4333,0.0517,0.2082,0.1924,IM
3,8.6164,6.9727,0.0311,0.3335,0.141,BCC
3,7.4972,14.4442,0.0422,0.1559,0.0921,BCC+FCC
3,7.545,7.64,0.0323,0.2994,0.1863,BCC
3,6.9687,14.4087,0.0522,0.1938,0.1062,IM
3,7.4288,12.8594,0.0526,0.2158,0.1885,IM
4,8.6017,9.5919,0.1008,0.5372,0.2576,IM
1,7.245,13.3333,0.0409,0.1596,0.0869,BCC+FCC
1,6.4266,9.476,0.0209,0.1602,0.1631,BCC
4,8.2145,11.0637,0.0345,0.1723,0.15,IM
1,7.9822,13.6333,0.0379,0.1462,0.1496,FCC
3,7.1655,17.335,0.0311,0.1313,0.1787,IM
3,10.4025,6.8,0.0425,0.3879,0.1511,BCC
3,7.3067,7.2333,0.032,0.2616,0.1593,BCC
1,7.24,10.6,0.0582,0.2296,0.0886,IM
3,8.4067,16.2667,0.029,0.0997,0.18,FCC
3,7.4148,12.1295,0.057,0.2098,0.1448,BCC
3,6.6105,8.2143,0.0471,0.3397,0.1662,BCC
2,7.9612,13.1071,0.0359,0.1382,0.1511,IM
1,8.04,12.9615,0.0394,0.1497,0.1457,FCC
3,6.783,11.2,0.0473,0.3397,0.2927,BCC
3,7.5516,9.412,0.048,0.3727,0.2502,IM
3,8.3196,10.6833,0.0696,0.278,0.1823,IM
1,8.61,10.04,0.0654,0.2748,0.2109,IM
3,7.114,10.64,0.0546,0.4468,0.2531,IM
1,7.8347,10.9526,0.0561,0.2316,0.1644,IM
1,7.8321,12.0717,0.0299,0.1282,0.0562,FCC
1,7.9463,13.1,0.0463,0.1603,0.0962,BCC+FCC
1,7.3265,19.45,0.0237,0.1094,0.1894,BCC+FCC
1,7.3489,19.8016,0.0207,0.1018,0.1843,BCC+FCC
3,7.8939,12.4326,0.0385,0.1475,0.0753,FCC
1,7.84,11.275,0.0507,0.1947,0.0713,IM
1,7.4126,20.8,0.0108,0.0728,0.148,BCC
3,8,7.74,0.0604,0.3291,0.2447,IM
3,8.047,7.06,0.0512,0.3908,0.2338,IM
1,5.9743,15.6,0.0506,0.2003,0.1236,IM
3,7.9429,11.8619,0.0353,0.1381,0.0545,IM
3,6.4032,8.3105,0.048,0.3434,0.1418,BCC
3,8.064,14.04,0.037,0.1432,0.1443,BCC+FCC
1,4.2729,20.0786,0.0337,0.167,0.1145,BCC+FCC
4,8.3172,11.7609,0.03,0.1158,0.0281,FCC
3,6.9864,15.408,0.0404,0.1555,0.1452,BCC
3,8.7867,7.9333,0.0428,0.4303,0.1775,BCC
1,7.625,12.3,0.0624,0.2664,0.2331,IM
1,7.5724,13.9104,0.0457,0.1689,0.102,BCC+FCC
3,7.4943,10.4,0.0515,0.2058,0.0549,BCC
3,8.3553,8.3824,0.0495,0.2907,0.2727,BCC
1,7.9613,11.1733,0.0751,0.3031,0.2247,BCC+FCC
2,6.8943,14.2095,0.0457,0.1676,0.0991,BCC
3,7.1507,16.6144,0.0324,0.1447,0.179,IM
3,7.402,6.92,0.0452,0.331,0.2151,IM
3,5.59,11.6222,0.0424,0.2715,0.2685,IM
2,6.6867,13.6333,0.0636,0.2462,0.1257,IM
3,7.2442,7.2895,0.0351,0.2703,0.16,BCC
1,7.602,10.3867,0.0539,0.2077,0.0549,BCC+FCC
3,7.4111,10.3944,0.0533,0.2139,0.0571,BCC
3,7.91,7.525,0.0502,0.4484,0.1456,BCC
3,6.7886,14.8571,0.0512,0.2191,0.1589,IM
3,7.62,12.7365,0.0509,0.1896,0.1306,IM
3,7.2397,12.8127,0.0617,0.2362,0.1104,IM
1,9.6675,9.325,0.0874,0.5953,0.2584,IM
3,8.3668,12.0309,0.0497,0.212,0.2084,IM
3,7.05,12.8778,0.0492,0.2202,0.2179,IM
1,9.3867,10.75,0.0776,0.4096,0.3609,BCC
1,7.0477,14.9538,0.0501,0.1841,0.1103,BCC+FCC
4,8.0286,11.2238,0.0384,0.1562,0.0399,FCC
3,8.4238,7.125,0.0397,0.3949,0.1403,BCC
1,8.3014,10.9809,0.041,0.1744,0.1246,IM
1,7.4217,14.15,0.0508,0.1796,0.1066,BCC+FCC
3,8.4282,6.8364,0.0331,0.3427,0.1335,BCC
3,7.5489,7.0478,0.0273,0.2419,0.1537,BCC
1,7.8236,10.4,0.0491,0.1843,0.0477,BCC+FCC
3,6.904,11.505,0.0958,0.3782,0.1255,IM
4,8.2911,11.7286,0.0301,0.1156,0.0278,FCC
3,10.2425,7.2,0.0402,0.4839,0.1799,BCC
1,7.2965,12.9,0.0622,0.2702,0.266,IM
2,5.836,9.97,0.0361,0.2277,0.2564,IM
1,7.3778,13.1833,0.0506,0.1736,0.0888,BCC+FCC
1,8.7867,12.0667,0.0532,0.4101,0.3236,IM
1,8.5455,10.62,0.0601,0.2511,0.2026,IM
3,6.7,8.1727,0.0465,0.3375,0.1729,BCC
3,7.3309,14.3091,0.0305,0.1269,0.1505,IM
1,7.9498,9.0581,0.0809,0.4317,0.2776,IM
3,5.9427,10.6727,0.0386,0.2211,0.2789,IM
3,5.5002,12.1902,0.0373,0.2354,0.2808,IM
1,9.1667,12.1167,0.0767,0.3598,0.3681,IM
1,6.8559,15.3353,0.0517,0.1886,0.1127,BCC+FCC
2,6.155,11.275,0.039,0.2082,0.2674,BCC
1,7.455,7.1,0.0257,0.2206,0.1563,BCC
3,8.0467,11.481,0.0521,0.2092,0.1315,IM
3,7.01,7.5,0.042,0.2771,0.1587,BCC
4,7.743,15.4,0.0194,0.0763,0.178,FCC
3,11.2625,6.475,0.0245,0.3015,0.1088,BCC
3,7.3151,17.199,0.0272,0.1174,0.1823,IM
3,8.0867,15.6,0.0281,0.1013,0.1758,FCC
1,7.2736,14.3182,0.0473,0.1778,0.1054,BCC+FCC
1,8.3378,8.9444,0.0831,0.4588,0.2833,IM
3,7.5616,7.0649,0.0337,0.2608,0.1521,IM
3,7.6115,13.0846,0.053,0.2118,0.1806,IM
3,6.9938,7.483,0.0393,0.2823,0.164,BCC
3,7.7086,14.4857,0.0309,0.1265,0.0824,BCC+FCC
2,11.88,6.72,0.0356,0.3466,0.1901,BCC
1,6.2767,8.9008,0.0114,0.1165,0.1162,BCC
1,7.2333,13.4167,0.0382,0.1486,0.0856,BCC
3,6.5498,14.0239,0.0462,0.175,0.1019,IM
3,8.6338,7.625,0.0461,0.4076,0.1672,BCC
1,8.0272,11.3972,0.0546,0.2355,0.2033,BCC
1,7.454,14.63,0.0418,0.1617,0.1488,BCC+FCC
3,7.7198,15.931,0.0187,0.074,0.184,FCC
3,7.2922,16.1222,0.0431,0.1657,0.1162,IM
2,9.3,6.98,0.0314,0.3117,0.1678,IM
3,7.4143,12.9778,0.0567,0.2176,0.1079,IM
3,7.0864,12.6636,0.0653,0.2509,0.1118,IM
3,7.3933,15.9458,0.0424,0.1619,0.1156,IM
4,8.1424,12.3269,0.0372,0.1373,0.0633,FCC
3,5.8444,16.5602,0.0476,0.1812,0.1182,BCC
3,6.6026,7.7353,0.0366,0.2817,0.1755,BCC
3,8.2455,7.2364,0.0365,0.3484,0.1533,BCC
1,7.4586,13.9453,0.0542,0.2144,0.1971,BCC+FCC
1,9.172,8.7,0.0861,0.5146,0.2886,IM
3,8.4817,10.9333,0.0705,0.2783,0.1829,IM
2,7.8051,12.0109,0.0453,0.1798,0.0603,FCC
1,7.9625,11.8812,0.0461,0.1581,0.0625,FCC
1,7.7727,11.6727,0.0683,0.2999,0.2762,IM
1,8.1241,12.0792,0.0637,0.2849,0.286,IM
3,7.728,11.84,0.0348,0.1394,0.1359,BCC+FCC
3,7.5875,11.0958,0.053,0.2089,0.0538,IM
4,8.5932,8.695,0.0741,0.5421,0.2056,IM
1,8.2851,9.9743,0.0711,0.3209,0.2707,IM
3,7.9733,10.9444,0.0416,0.1589,0.0769,IM
3,8.2365,10.9261,0.065,0.2591,0.1714,IM
3,8.4341,10.6706,0.0725,0.288,0.1872,IM
3,8.8092,7.2628,0.0349,0.3624,0.1868,IM
3,6.5025,11.55,0.0369,0.2447,0.2905,BCC
3,6.61,8.25,0.0437,0.3397,0.169,BCC
1,7.9364,10.4545,0.0732,0.3174,0.253,IM
1,7.3591,14.6957,0.0384,0.1466,0.1443,BCC+FCC
1,9.1215,11.7461,0.0809,0.3904,0.3664,IM
3,7.4638,12.7769,0.05,0.2073,0.1815,IM
3,6.0133,9.6444,0.0468,0.3056,0.2239,IM
3,7.2563,14.2444,0.0511,0.1858,0.1076,IM
1,7.402,20.6342,0.0126,0.0787,0.1572,BCC
1,7.0585,14.8769,0.0529,0.1902,0.1121,BCC+FCC
2,8.3655,11.5459,0.0412,0.1736,0.1412,IM
3,8.4511,10.7643,0.0719,0.2848,0.1858,IM
3,7.1947,17.499,0.0302,0.1284,0.1819,IM
3,9.65,7,0.0551,0.4082,0.2651,BCC
3,7.7217,13.0373,0.0472,0.1768,0.1182,BCC+FCC
3,9.92,8,0.0385,0.3729,0.2081,BCC
1,8.112,12.2067,0.0605,0.2693,0.2764,IM
1,7.3882,12.9545,0.0554,0.2257,0.1965,BCC
3,7.5145,12.9843,0.056,0.2233,0.1879,IM
3,7.0835,8.6588,0.0352,0.2276,0.2091,BCC
3,8.63,10.62,0.0728,0.2952,0.2471,FCC
1,12.004,5.62,0.0544,0.5124,0.2421,IM
3,9.0643,8.2905,0.0483,0.361,0.2274,BCC
3,7.6692,12.882,0.0489,0.1836,0.1252,IM
3,7.103,11.26,0.1039,0.4275,0.1668,IM
1,7.3085,19.1688,0.0258,0.1148,0.1915,FCC
3,7.1028,11.838,0.0392,0.1497,0.077,IM
3,7.091,7.4272,0.0404,0.2785,0.1598,BCC
4,8.1825,11.2654,0.0288,0.1518,0.1264,IM
1,7.35,12.6667,0.0659,0.2935,0.2838,IM
1,8.2817,12.7167,0.0662,0.3649,0.3808,IM
3,10.4554,7.2976,0.0348,0.3854,0.1686,BCC
3,7.9375,11.8,0.0432,0.1741,0.0893,FCC
3,8.5535,11.2882,0.0472,0.2071,0.1651,FCC
1,7.2528,13.3286,0.0505,0.1984,0.1614,BCC
3,6.4172,12.756,0.0593,0.3253,0.2652,IM
3,6.8561,12.5571,0.0565,0.254,0.2088,IM
1,8.7573,9.5909,0.0729,0.3108,0.2258,IM
3,7.5824,10.4059,0.0494,0.1967,0.0523,BCC
1,7.4719,12.8807,0.0353,0.1413,0.0758,BCC+FCC
1,6.52,14.2667,0.0518,0.1998,0.1115,BCC
1,7.41,14.2334,0.0469,0.1741,0.1049,BCC+FCC
1,7.4183,10.25,0.0527,0.2113,0.0584,IM
3,8.0938,13.7846,0.025,0.1027,0.0626,FCC
1,6.9386,11.4395,0.0438,0.2467,0.2691,BCC
3,8.291,11.895,0.0389,0.1374,0.0789,FCC
3,8.0713,14.851,0.0248,0.0964,0.1604,FCC
3,7.99,11.5909,0.0431,0.1755,0.0441,BCC
1,6.3424,14.6235,0.0626,0.2456,0.1314,BCC
3,5.475,12.35,0.0361,0.224,0.2841,BCC
1,7.7423,11.8377,0.0646,0.2798,0.2633,IM
3,10.15,7.7,0.0666,0.3898,0.3424,IM
1,9.02,10.9125,0.0901,0.4494,0.3479,IM
3,8.3133,11.1,0.0423,0.1465,0.0348,FCC
3,7.3496,13.0451,0.0578,0.2345,0.2037,IM
3,6.9617,14.9,0.0614,0.2349,0.1271,BCC+FCC
1,12.5812,6.1216,0.0292,0.2875,0.0853,BCC
2,8.115,11.9,0.0555,0.4057,0.324,IM
1,7.176,13.204,0.0467,0.1759,0.0906,BCC+FCC
1,7.9671,11.1286,0.0787,0.3148,0.2285,BCC+FCC
1,9.45,10.5222,0.0618,0.2857,0.3013,IM
3,6.2625,15.95,0.0809,0.2895,0.1535,FCC
3,7.265,11.85,0.0588,0.4446,0.2846,BCC
3,7.324,7.42,0.0407,0.2566,0.2232,BCC
3,7.8313,8.534,0.0425,0.4301,0.1955,BCC
1,9.0493,11.1533,0.0879,0.4337,0.355,IM
3,6.7127,11.8182,0.0588,0.4408,0.2782,IM
1,6.4379,15.8071,0.0549,0.2823,0.3725,BCC+FCC
3,6.8423,17.815,0.0329,0.1401,0.175,IM
3,11.058,7.36,0.0524,0.4284,0.2286,BCC
3,7.236,12.92,0.0535,0.2255,0.2064,IM
3,8.4158,10.5695,0.0729,0.2911,0.1886,IM
3,7.2544,13.6378,0.0325,0.1452,0.153,BCC
1,8.2039,12.2769,0.0422,0.1618,0.0876,IM
3,6.9845,7.4579,0.0329,0.2664,0.1673,BCC
3,9.0778,6.5778,0.0319,0.3421,0.1173,BCC
3,7.8818,12.9,0.0383,0.1483,0.1577,FCC
1,8.607,9.7685,0.0757,0.3284,0.2496,IM
